timestamp_unix,t,wp_idx,wp_phase,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,lz_sp,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,err_xy,err_z,e_yaw,dist_xy,dist_z,ff_x,ff_y,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
1779480328.970044,0.0000,0,transit,3.0319,0.0756,4.0009,0.0156,-0.0221,-0.0004,-0.0008,-0.0007,0.0000,0.0000,0.0000,-0.2276,-1.1840,4.9996,0.0093,-0.0292,0.0001,-0.3086,-0.0004,1.0319,0.0771,5.0009,1.2594,1.2611,0.0013,1.7823,0.0013,0.3078,3.4944,0.9987,0.0000,0.0013,0.6297,0.6306,0.0006,0.0000,0.0000,0.0000,0.0013,0.0014,-0.0001,0.6310,0.6333,0.0005,0.2462
1779480329.055715,0.0930,0,transit,3.0319,0.0756,4.0009,0.0156,-0.0221,-0.0004,-0.0008,-0.0007,3.0362,0.0740,3.9999,-0.2276,-1.1840,4.9996,0.0093,-0.0292,0.0001,-0.3086,-0.0004,1.0319,0.0771,5.0009,1.2594,1.2611,0.0013,1.7823,0.0013,0.3078,3.4944,0.9987,0.0000,0.0013,0.6297,0.6306,0.0006,0.0000,0.0000,0.0000,0.0013,0.0014,-0.0001,0.6310,0.6333,0.0005,0.2462
1779480329.064090,0.0930,0,transit,3.0319,0.0756,4.0009,0.0156,-0.0221,-0.0004,-0.0008,-0.0007,3.0362,0.0740,3.9999,-0.2276,-1.1840,4.9996,0.0093,-0.0292,0.0001,-0.3086,-0.0004,1.0319,0.0771,5.0009,1.2594,1.2611,0.0013,1.7823,0.0013,0.3078,3.4944,0.9987,0.0000,0.0013,0.6297,0.6306,0.0006,0.0000,0.0000,0.0000,0.0013,0.0014,-0.0001,0.6310,0.6333,0.0005,0.2462
1779480329.122893,0.1560,0,transit,3.0319,0.0756,4.0009,0.0156,-0.0221,-0.0004,-0.0008,-0.0007,3.0362,0.0740,3.9999,-0.2276,-1.1840,4.9996,0.0093,-0.0292,0.0001,-0.3086,-0.0004,1.0319,0.0771,5.0009,1.2594,1.2611,0.0013,1.7823,0.0013,0.3078,3.4944,0.9987,0.0000,0.0013,0.6297,0.6306,0.0006,0.0000,0.0000,0.0000,0.0013,0.0014,-0.0001,0.6310,0.6333,0.0005,0.2462
1779480329.180295,0.2180,0,transit,3.0319,0.0756,4.0009,0.0156,-0.0221,-0.0004,-0.0008,-0.0007,3.0362,0.0740,3.9999,-0.2272,-1.1848,4.9994,0.0227,-0.0173,-0.0002,-0.3041,0.0827,1.0319,0.0771,5.0009,1.2591,1.2619,0.0015,1.7826,0.0015,0.3033,3.4943,0.9985,0.0000,0.0013,0.6295,0.6310,0.0007,0.0000,0.0000,0.0000,-0.0014,-0.0010,-0.0000,0.6281,0.6313,0.0007,0.2343
1779480329.212925,0.2500,0,transit,3.0318,0.0756,4.0008,0.0135,-0.0187,-0.0013,-0.0008,-0.0007,3.0362,0.0740,3.9999,-0.2272,-1.1848,4.9994,0.0227,-0.0173,-0.0002,-0.3041,0.0827,1.0318,0.0771,5.0008,1.2590,1.2620,0.0014,1.7826,0.0014,0.3033,3.4942,0.9986,0.0000,0.0013,0.6295,0.6310,0.0007,0.0000,0.0000,0.0000,-0.0018,-0.0003,-0.0002,0.6277,0.6320,0.0005,0.2343
1779480329.268135,0.2960,0,transit,3.0318,0.0756,4.0008,0.0135,-0.0187,-0.0013,-0.0008,-0.0007,3.0362,0.0740,3.9999,-0.2272,-1.1848,4.9994,0.0227,-0.0173,-0.0002,-0.3041,0.0827,1.0318,0.0771,5.0008,1.2590,1.2620,0.0014,1.7826,0.0014,0.3033,3.4942,0.9986,0.0000,0.0013,0.6295,0.6310,0.0007,0.0000,0.0000,0.0000,-0.0018,-0.0003,-0.0002,0.6277,0.6320,0.0005,0.2343
1779480329.325145,0.3590,0,transit,3.0318,0.0756,4.0008,0.0135,-0.0187,-0.0013,-0.0008,-0.0007,3.0362,0.0740,3.9999,-0.2272,-1.1848,4.9994,0.0227,-0.0173,-0.0002,-0.3041,0.0827,1.0318,0.0771,5.0008,1.2590,1.2620,0.0014,1.7826,0.0014,0.3033,3.4942,0.9986,0.0000,0.0013,0.6295,0.6310,0.0007,0.0000,0.0000,0.0000,-0.0018,-0.0003,-0.0002,0.6277,0.6320,0.0005,0.2343
1779480329.370323,0.4060,0,transit,3.0318,0.0756,4.0008,0.0135,-0.0187,-0.0013,-0.0008,-0.0007,3.0362,0.0740,3.9999,-0.2272,-1.1848,4.9994,0.0227,-0.0173,-0.0002,-0.3041,0.0827,1.0318,0.0771,5.0008,1.2590,1.2620,0.0014,1.7826,0.0014,0.3033,3.4942,0.9986,0.0000,0.0013,0.6295,0.6310,0.0007,0.0000,0.0000,0.0000,-0.0018,-0.0003,-0.0002,0.6277,0.6320,0.0005,0.2343
1779480329.417237,0.4530,0,transit,3.0318,0.0756,4.0008,0.0135,-0.0187,-0.0013,-0.0008,-0.0007,3.0362,0.0740,3.9999,-0.2074,-1.1669,4.9989,0.1881,0.1490,-0.0018,-0.2485,0.3402,1.0318,0.0771,5.0008,1.2392,1.2441,0.0019,1.7559,0.0019,0.2477,3.4693,0.9981,0.0000,0.0013,0.6196,0.6220,0.0010,0.0000,0.0000,0.0000,-0.0349,-0.0335,0.0001,0.5847,0.5898,0.0010,0.1641
1779480329.467141,0.5000,0,transit,3.0308,0.0772,4.0006,0.0097,-0.0113,-0.0012,-0.0008,-0.0004,3.0362,0.0740,3.9999,-0.2074,-1.1669,4.9989,0.1881,0.1490,-0.0018,-0.2485,0.3402,1.0308,0.0788,5.0006,1.2382,1.2457,0.0018,1.7564,0.0018,0.2477,3.4689,0.9982,0.0000,0.0008,0.6191,0.6229,0.0009,0.0000,0.0000,0.0000,-0.0357,-0.0321,0.0001,0.5834,0.5916,0.0010,0.1641
1779480329.518631,0.5460,0,transit,3.0308,0.0772,4.0006,0.0097,-0.0113,-0.0012,-0.0008,-0.0004,3.0362,0.0740,3.9999,-0.2074,-1.1669,4.9989,0.1881,0.1490,-0.0018,-0.2485,0.3402,1.0308,0.0788,5.0006,1.2382,1.2457,0.0018,1.7564,0.0018,0.2477,3.4689,0.9982,0.0000,0.0008,0.6191,0.6229,0.0009,0.0000,0.0000,0.0000,-0.0357,-0.0321,0.0001,0.5834,0.5916,0.0010,0.1641
1779480329.573180,0.6090,0,transit,3.0308,0.0772,4.0006,0.0097,-0.0113,-0.0012,-0.0008,-0.0004,3.0362,0.0740,3.9999,-0.2074,-1.1669,4.9989,0.1881,0.1490,-0.0018,-0.2485,0.3402,1.0308,0.0788,5.0006,1.2382,1.2457,0.0018,1.7564,0.0018,0.2477,3.4689,0.9982,0.0000,0.0008,0.6191,0.6229,0.0009,0.0000,0.0000,0.0000,-0.0357,-0.0321,0.0001,0.5834,0.5916,0.0010,0.1641
1779480329.618876,0.6560,0,transit,3.0308,0.0772,4.0006,0.0097,-0.0113,-0.0012,-0.0008,-0.0004,3.0362,0.0740,3.9999,-0.2074,-1.1669,4.9989,0.1881,0.1490,-0.0018,-0.2485,0.3402,1.0308,0.0788,5.0006,1.2382,1.2457,0.0018,1.7564,0.0018,0.2477,3.4689,0.9982,0.0000,0.0008,0.6191,0.6229,0.0009,0.0000,0.0000,0.0000,-0.0357,-0.0321,0.0001,0.5834,0.5916,0.0010,0.1641
1779480329.664076,0.7030,0,transit,3.0308,0.0772,4.0006,0.0097,-0.0113,-0.0012,-0.0008,-0.0004,3.0362,0.0740,3.9999,-0.1358,-1.0973,4.9987,0.3894,0.3541,0.0026,-0.1621,0.2763,1.0308,0.0788,5.0006,1.1666,1.1761,0.0019,1.6565,0.0019,0.1613,3.3774,0.9981,0.0000,0.0008,0.5833,0.5880,0.0009,0.0000,0.0000,0.0000,-0.0759,-0.0731,-0.0008,0.5074,0.5158,0.0002,0.1014
1779480329.718130,0.7500,0,transit,3.0291,0.0802,4.0005,0.0081,-0.0078,-0.0011,-0.0007,-0.0003,3.0362,0.0740,3.9999,-0.1358,-1.0973,4.9987,0.3894,0.3541,0.0026,-0.1621,0.2763,1.0291,0.0816,5.0005,1.1649,1.1789,0.0017,1.6573,0.0017,0.1614,3.3768,0.9983,0.0000,0.0006,0.5824,0.5894,0.0009,0.0000,0.0000,0.0000,-0.0762,-0.0724,-0.0008,0.5062,0.5176,0.0001,0.1015
1779480329.772932,0.8120,0,transit,3.0291,0.0802,4.0005,0.0081,-0.0078,-0.0011,-0.0007,-0.0003,3.0362,0.0740,3.9999,-0.1358,-1.0973,4.9987,0.3894,0.3541,0.0026,-0.1621,0.2763,1.0291,0.0816,5.0005,1.1649,1.1789,0.0017,1.6573,0.0017,0.1614,3.3768,0.9983,0.0000,0.0006,0.5824,0.5894,0.0009,0.0000,0.0000,0.0000,-0.0762,-0.0724,-0.0008,0.5062,0.5176,0.0001,0.1015
1779480329.814279,0.8430,0,transit,3.0291,0.0802,4.0005,0.0081,-0.0078,-0.0011,-0.0007,-0.0003,3.0362,0.0740,3.9999,-0.1358,-1.0973,4.9987,0.3894,0.3541,0.0026,-0.1621,0.2763,1.0291,0.0816,5.0005,1.1649,1.1789,0.0017,1.6573,0.0017,0.1614,3.3768,0.9983,0.0000,0.0006,0.5824,0.5894,0.0009,0.0000,0.0000,0.0000,-0.0762,-0.0724,-0.0008,0.5062,0.5176,0.0001,0.1015
1779480329.874077,0.9060,0,transit,3.0291,0.0802,4.0005,0.0081,-0.0078,-0.0011,-0.0007,-0.0003,3.0362,0.0740,3.9999,-0.1358,-1.0973,4.9987,0.3894,0.3541,0.0026,-0.1621,0.2763,1.0291,0.0816,5.0005,1.1649,1.1789,0.0017,1.6573,0.0017,0.1614,3.3768,0.9983,0.0000,0.0006,0.5824,0.5894,0.0009,0.0000,0.0000,0.0000,-0.0762,-0.0724,-0.0008,0.5062,0.5176,0.0001,0.1015
1779480329.918936,0.9530,0,transit,3.0291,0.0802,4.0005,0.0081,-0.0078,-0.0011,-0.0007,-0.0003,3.0362,0.0740,3.9999,-0.0319,-0.9932,4.9993,0.4733,0.4417,0.0029,-0.1198,0.0673,1.0291,0.0816,5.0005,1.0610,1.0749,0.0012,1.5103,0.0012,0.1191,3.2437,0.9988,0.0000,0.0006,0.5305,0.5374,0.0006,0.0000,0.0000,0.0000,-0.0930,-0.0899,-0.0008,0.4374,0.4481,-0.0002,0.0886
1779480329.968163,1.0000,0,transit,3.0275,0.0832,4.0004,0.0085,-0.0075,-0.0007,-0.0007,-0.0009,3.0362,0.0740,3.9999,-0.0319,-0.9932,4.9993,0.4733,0.4417,0.0029,-0.1198,0.0673,1.0275,0.0847,5.0004,1.0594,1.0779,0.0011,1.5114,0.0011,0.1191,3.2433,0.9989,0.0000,0.0018,0.5297,0.5390,0.0005,0.0000,0.0000,0.0000,-0.0930,-0.0898,-0.0007,0.4367,0.4510,-0.0002,0.0884
1779480330.020777,1.0620,0,transit,3.0275,0.0832,4.0004,0.0085,-0.0075,-0.0007,-0.0007,-0.0009,3.0362,0.0740,3.9999,-0.0319,-0.9932,4.9993,0.4733,0.4417,0.0029,-0.1198,0.0673,1.0275,0.0847,5.0004,1.0594,1.0779,0.0011,1.5114,0.0011,0.1191,3.2433,0.9989,0.0000,0.0018,0.5297,0.5390,0.0005,0.0000,0.0000,0.0000,-0.0930,-0.0898,-0.0007,0.4367,0.4510,-0.0002,0.0884
1779480330.064277,1.0930,0,transit,3.0275,0.0832,4.0004,0.0085,-0.0075,-0.0007,-0.0007,-0.0009,3.0362,0.0740,3.9999,-0.0319,-0.9932,4.9993,0.4733,0.4417,0.0029,-0.1198,0.0673,1.0275,0.0847,5.0004,1.0594,1.0779,0.0011,1.5114,0.0011,0.1191,3.2433,0.9989,0.0000,0.0018,0.5297,0.5390,0.0005,0.0000,0.0000,0.0000,-0.0930,-0.0898,-0.0007,0.4367,0.4510,-0.0002,0.0884
1779480330.121902,1.1560,0,transit,3.0275,0.0832,4.0004,0.0085,-0.0075,-0.0007,-0.0007,-0.0009,3.0362,0.0740,3.9999,-0.0319,-0.9932,4.9993,0.4733,0.4417,0.0029,-0.1198,0.0673,1.0275,0.0847,5.0004,1.0594,1.0779,0.0011,1.5114,0.0011,0.1191,3.2433,0.9989,0.0000,0.0018,0.5297,0.5390,0.0005,0.0000,0.0000,0.0000,-0.0930,-0.0898,-0.0007,0.4367,0.4510,-0.0002,0.0884
1779480330.166780,1.2030,0,transit,3.0275,0.0832,4.0004,0.0085,-0.0075,-0.0007,-0.0007,-0.0009,3.0362,0.0740,3.9999,0.0823,-0.8777,4.9995,0.4830,0.4548,0.0014,-0.1157,-0.0002,1.0275,0.0847,5.0004,0.9452,0.9624,0.0009,1.3489,0.0009,0.1150,3.0980,0.9991,0.0000,0.0018,0.4726,0.4812,0.0004,0.0000,0.0000,0.0000,-0.0949,-0.0925,-0.0004,0.3777,0.3906,0.0000,0.0919
1779480330.214180,1.2500,0,transit,3.0264,0.0857,4.0003,0.0092,-0.0087,-0.0006,-0.0008,-0.0003,3.0362,0.0740,3.9999,0.0823,-0.8777,4.9995,0.4830,0.4548,0.0014,-0.1157,-0.0002,1.0264,0.0873,5.0003,0.9441,0.9650,0.0009,1.3500,0.0009,0.1149,3.0977,0.9991,0.0000,0.0006,0.4720,0.4825,0.0004,0.0000,0.0000,0.0000,-0.0948,-0.0927,-0.0004,0.3773,0.3904,0.0000,0.0919
1779480330.271511,1.3120,0,transit,3.0264,0.0857,4.0003,0.0092,-0.0087,-0.0006,-0.0008,-0.0003,3.0362,0.0740,3.9999,0.0823,-0.8777,4.9995,0.4830,0.4548,0.0014,-0.1157,-0.0002,1.0264,0.0873,5.0003,0.9441,0.9650,0.0009,1.3500,0.0009,0.1149,3.0977,0.9991,0.0000,0.0006,0.4720,0.4825,0.0004,0.0000,0.0000,0.0000,-0.0948,-0.0927,-0.0004,0.3773,0.3904,0.0000,0.0919
1779480330.313969,1.3430,0,transit,3.0264,0.0857,4.0003,0.0092,-0.0087,-0.0006,-0.0008,-0.0003,3.0362,0.0740,3.9999,0.0823,-0.8777,4.9995,0.4830,0.4548,0.0014,-0.1157,-0.0002,1.0264,0.0873,5.0003,0.9441,0.9650,0.0009,1.3500,0.0009,0.1149,3.0977,0.9991,0.0000,0.0006,0.4720,0.4825,0.0004,0.0000,0.0000,0.0000,-0.0948,-0.0927,-0.0004,0.3773,0.3904,0.0000,0.0919
1779480330.371996,1.4060,0,transit,3.0264,0.0857,4.0003,0.0092,-0.0087,-0.0006,-0.0008,-0.0003,3.0362,0.0740,3.9999,0.0823,-0.8777,4.9995,0.4830,0.4548,0.0014,-0.1157,-0.0002,1.0264,0.0873,5.0003,0.9441,0.9650,0.0009,1.3500,0.0009,0.1149,3.0977,0.9991,0.0000,0.0006,0.4720,0.4825,0.0004,0.0000,0.0000,0.0000,-0.0948,-0.0927,-0.0004,0.3773,0.3904,0.0000,0.0919
1779480330.417550,1.4530,0,transit,3.0264,0.0857,4.0003,0.0092,-0.0087,-0.0006,-0.0008,-0.0003,3.0362,0.0740,3.9999,0.1944,-0.7623,4.9994,0.4547,0.4298,0.0004,-0.1073,0.0692,1.0264,0.0873,5.0003,0.8320,0.8496,0.0010,1.1891,0.0010,0.1065,2.9562,0.9990,0.0000,0.0006,0.4160,0.4248,0.0005,0.0000,0.0000,0.0000,-0.0891,-0.0877,-0.0002,0.3269,0.3377,0.0003,0.0782
1779480330.471482,1.5000,0,transit,3.0255,0.0874,4.0003,0.0098,-0.0107,-0.0005,-0.0007,-0.0005,3.0362,0.0740,3.9999,0.1944,-0.7623,4.9994,0.4547,0.4298,0.0004,-0.1073,0.0692,1.0255,0.0889,5.0003,0.8311,0.8512,0.0009,1.1896,0.0009,0.1066,2.9559,0.9991,0.0000,0.0010,0.4156,0.4256,0.0004,0.0000,0.0000,0.0000,-0.0890,-0.0881,-0.0002,0.3266,0.3385,0.0003,0.0783
1779480330.522581,1.5620,0,transit,3.0255,0.0874,4.0003,0.0098,-0.0107,-0.0005,-0.0007,-0.0005,3.0362,0.0740,3.9999,0.1944,-0.7623,4.9994,0.4547,0.4298,0.0004,-0.1073,0.0692,1.0255,0.0889,5.0003,0.8311,0.8512,0.0009,1.1896,0.0009,0.1066,2.9559,0.9991,0.0000,0.0010,0.4156,0.4256,0.0004,0.0000,0.0000,0.0000,-0.0890,-0.0881,-0.0002,0.3266,0.3385,0.0003,0.0783
1779480330.561309,1.5930,0,transit,3.0255,0.0874,4.0003,0.0098,-0.0107,-0.0005,-0.0007,-0.0005,3.0362,0.0740,3.9999,0.1944,-0.7623,4.9994,0.4547,0.4298,0.0004,-0.1073,0.0692,1.0255,0.0889,5.0003,0.8311,0.8512,0.0009,1.1896,0.0009,0.1066,2.9559,0.9991,0.0000,0.0010,0.4156,0.4256,0.0004,0.0000,0.0000,0.0000,-0.0890,-0.0881,-0.0002,0.3266,0.3385,0.0003,0.0783
1779480330.619292,1.6560,0,transit,3.0255,0.0874,4.0003,0.0098,-0.0107,-0.0005,-0.0007,-0.0005,3.0362,0.0740,3.9999,0.1944,-0.7623,4.9994,0.4547,0.4298,0.0004,-0.1073,0.0692,1.0255,0.0889,5.0003,0.8311,0.8512,0.0009,1.1896,0.0009,0.1066,2.9559,0.9991,0.0000,0.0010,0.4156,0.4256,0.0004,0.0000,0.0000,0.0000,-0.0890,-0.0881,-0.0002,0.3266,0.3385,0.0003,0.0783
1779480330.663694,1.7030,0,transit,3.0255,0.0874,4.0003,0.0098,-0.0107,-0.0005,-0.0007,-0.0005,3.0362,0.0740,3.9999,0.2984,-0.6542,4.9992,0.4130,0.3890,0.0005,-0.0824,0.1095,1.0255,0.0889,5.0003,0.7271,0.7431,0.0011,1.0397,0.0011,0.0817,2.8262,0.9989,0.0000,0.0010,0.3636,0.3716,0.0005,0.0000,0.0000,0.0000,-0.0806,-0.0799,-0.0002,0.2829,0.2926,0.0003,0.0543
1779480330.711319,1.7500,0,transit,3.0246,0.0888,3.9997,0.0099,-0.0122,-0.0002,-0.0007,-0.0006,3.0362,0.0740,3.9999,0.2984,-0.6542,4.9992,0.4130,0.3890,0.0005,-0.0824,0.1095,1.0246,0.0903,4.9997,0.7262,0.7445,0.0005,1.0401,0.0005,0.0816,2.8257,0.9995,0.0000,0.0013,0.3631,0.3723,0.0003,0.0000,0.0000,0.0000,-0.0806,-0.0803,-0.0001,0.2825,0.2933,0.0001,0.0543
1779480330.762131,1.7960,0,transit,3.0246,0.0888,3.9997,0.0099,-0.0122,-0.0002,-0.0007,-0.0006,3.0362,0.0740,3.9999,0.2984,-0.6542,4.9992,0.4130,0.3890,0.0005,-0.0824,0.1095,1.0246,0.0903,4.9997,0.7262,0.7445,0.0005,1.0401,0.0005,0.0816,2.8257,0.9995,0.0000,0.0013,0.3631,0.3723,0.0003,0.0000,0.0000,0.0000,-0.0806,-0.0803,-0.0001,0.2825,0.2933,0.0001,0.0543
1779480330.822162,1.8590,0,transit,3.0246,0.0888,3.9997,0.0099,-0.0122,-0.0002,-0.0007,-0.0006,3.0362,0.0740,3.9999,0.2984,-0.6542,4.9992,0.4130,0.3890,0.0005,-0.0824,0.1095,1.0246,0.0903,4.9997,0.7262,0.7445,0.0005,1.0401,0.0005,0.0816,2.8257,0.9995,0.0000,0.0013,0.3631,0.3723,0.0003,0.0000,0.0000,0.0000,-0.0806,-0.0803,-0.0001,0.2825,0.2933,0.0001,0.0543
1779480330.864032,1.9060,0,transit,3.0246,0.0888,3.9997,0.0099,-0.0122,-0.0002,-0.0007,-0.0006,3.0362,0.0740,3.9999,0.2984,-0.6542,4.9992,0.4130,0.3890,0.0005,-0.0824,0.1095,1.0246,0.0903,4.9997,0.7262,0.7445,0.0005,1.0401,0.0005,0.0816,2.8257,0.9995,0.0000,0.0013,0.3631,0.3723,0.0003,0.0000,0.0000,0.0000,-0.0806,-0.0803,-0.0001,0.2825,0.2933,0.0001,0.0543
1779480330.908834,1.9370,0,transit,3.0246,0.0888,3.9997,0.0099,-0.0122,-0.0002,-0.0007,-0.0006,3.0362,0.0740,3.9999,0.3931,-0.5566,4.9991,0.3688,0.3440,0.0009,-0.0590,0.0685,1.0246,0.0903,4.9997,0.6315,0.6468,0.0006,0.9040,0.0006,0.0583,2.7095,0.9994,0.0000,0.0013,0.3157,0.3234,0.0003,0.0000,0.0000,0.0000,-0.0718,-0.0712,-0.0002,0.2439,0.2534,0.0001,0.0397
1779480330.977748,2.0150,0,transit,3.0240,0.0894,3.9991,0.0103,-0.0137,0.0004,-0.0008,-0.0009,3.0362,0.0740,3.9999,0.3931,-0.5566,4.9991,0.3688,0.3440,0.0009,-0.0590,0.0685,1.0240,0.0910,4.9991,0.6308,0.6476,0.0000,0.9040,0.0000,0.0583,2.7090,1.0000,0.0000,0.0019,0.3154,0.3238,0.0000,0.0000,0.0000,0.0000,-0.0717,-0.0715,-0.0001,0.2437,0.2541,-0.0001,0.0397
1779480331.013704,2.0460,0,transit,3.0240,0.0894,3.9991,0.0103,-0.0137,0.0004,-0.0008,-0.0009,3.0362,0.0740,3.9999,0.3931,-0.5566,4.9991,0.3688,0.3440,0.0009,-0.0590,0.0685,1.0240,0.0910,4.9991,0.6308,0.6476,0.0000,0.9040,0.0000,0.0583,2.7090,1.0000,0.0000,0.0019,0.3154,0.3238,0.0000,0.0000,0.0000,0.0000,-0.0717,-0.0715,-0.0001,0.2437,0.2541,-0.0001,0.0397
1779480331.068161,2.1090,0,transit,3.0240,0.0894,3.9991,0.0103,-0.0137,0.0004,-0.0008,-0.0009,3.0362,0.0740,3.9999,0.3931,-0.5566,4.9991,0.3688,0.3440,0.0009,-0.0590,0.0685,1.0240,0.0910,4.9991,0.6308,0.6476,0.0000,0.9040,0.0000,0.0583,2.7090,1.0000,0.0000,0.0019,0.3154,0.3238,0.0000,0.0000,0.0000,0.0000,-0.0717,-0.0715,-0.0001,0.2437,0.2541,-0.0001,0.0397
1779480331.109926,2.1400,0,transit,3.0240,0.0894,3.9991,0.0103,-0.0137,0.0004,-0.0008,-0.0009,3.0362,0.0740,3.9999,0.3931,-0.5566,4.9991,0.3688,0.3440,0.0009,-0.0590,0.0685,1.0240,0.0910,4.9991,0.6308,0.6476,0.0000,0.9040,0.0000,0.0583,2.7090,1.0000,0.0000,0.0019,0.3154,0.3238,0.0000,0.0000,0.0000,0.0000,-0.0717,-0.0715,-0.0001,0.2437,0.2541,-0.0001,0.0397
1779480331.175606,2.2180,0,transit,3.0240,0.0894,3.9991,0.0103,-0.0137,0.0004,-0.0008,-0.0002,3.0362,0.0740,3.9999,0.4772,-0.4702,4.9990,0.3266,0.3007,0.0009,-0.0490,0.0198,1.0240,0.0910,4.9991,0.5468,0.5612,0.0001,0.7835,0.0001,0.0482,2.6075,0.9999,0.0000,0.0004,0.2734,0.2806,0.0000,0.0000,0.0000,0.0000,-0.0633,-0.0629,-0.0001,0.2101,0.2181,-0.0001,0.0365
1779480331.210927,2.2500,0,transit,3.0237,0.0895,3.9986,0.0110,-0.0149,0.0005,-0.0008,-0.0002,3.0362,0.0740,3.9999,0.4772,-0.4702,4.9990,0.3266,0.3007,0.0009,-0.0490,0.0198,1.0237,0.0911,4.9986,0.5465,0.5613,-0.0004,0.7834,0.0004,0.0482,2.6072,1.0004,0.0000,0.0004,0.2732,0.2806,-0.0002,0.0000,0.0000,0.0000,-0.0631,-0.0631,-0.0001,0.2101,0.2179,-0.0003,0.0365
1779480331.261934,2.2960,0,transit,3.0237,0.0895,3.9986,0.0110,-0.0149,0.0005,-0.0008,-0.0002,3.0362,0.0740,3.9999,0.4772,-0.4702,4.9990,0.3266,0.3007,0.0009,-0.0490,0.0198,1.0237,0.0911,4.9986,0.5465,0.5613,-0.0004,0.7834,0.0004,0.0482,2.6072,1.0004,0.0000,0.0004,0.2732,0.2806,-0.0002,0.0000,0.0000,0.0000,-0.0631,-0.0631,-0.0001,0.2101,0.2179,-0.0003,0.0365
1779480331.321623,2.3590,0,transit,3.0237,0.0895,3.9986,0.0110,-0.0149,0.0005,-0.0008,-0.0002,3.0362,0.0740,3.9999,0.4772,-0.4702,4.9990,0.3266,0.3007,0.0009,-0.0490,0.0198,1.0237,0.0911,4.9986,0.5465,0.5613,-0.0004,0.7834,0.0004,0.0482,2.6072,1.0004,0.0000,0.0004,0.2732,0.2806,-0.0002,0.0000,0.0000,0.0000,-0.0631,-0.0631,-0.0001,0.2101,0.2179,-0.0003,0.0365
1779480331.391406,2.4210,0,transit,3.0237,0.0895,3.9986,0.0110,-0.0149,0.0005,-0.0008,-0.0002,3.0362,0.0740,3.9999,0.5513,-0.3934,4.9992,0.2891,0.2630,0.0008,-0.0453,0.0162,1.0237,0.0911,4.9986,0.4724,0.4845,-0.0007,0.6767,0.0007,0.0445,2.5191,1.0007,0.0000,0.0004,0.2362,0.2422,-0.0003,0.0000,0.0000,0.0000,-0.0556,-0.0556,-0.0000,0.1806,0.1871,-0.0004,0.0339
1779480331.421427,2.4530,0,transit,3.0237,0.0895,3.9986,0.0110,-0.0149,0.0005,-0.0007,-0.0001,3.0362,0.0740,3.9999,0.5625,-0.3819,4.9993,0.2833,0.2571,0.0009,-0.0445,0.0189,1.0237,0.0909,4.9986,0.4612,0.4728,-0.0007,0.6605,0.0007,0.0438,2.5059,1.0007,0.0000,0.0003,0.2306,0.2364,-0.0004,0.0000,0.0000,0.0000,-0.0545,-0.0544,-0.0001,0.1761,0.1823,-0.0004,0.0331
1779480331.469177,2.5000,0,transit,3.0234,0.0894,3.9982,0.0111,-0.0155,0.0013,-0.0007,-0.0001,3.0362,0.0740,3.9999,0.5625,-0.3819,4.9993,0.2833,0.2571,0.0009,-0.0445,0.0189,1.0234,0.0908,4.9982,0.4609,0.4727,-0.0011,0.6603,0.0011,0.0438,2.5057,1.0011,0.0000,0.0003,0.2305,0.2364,-0.0005,0.0000,0.0000,0.0000,-0.0544,-0.0545,0.0001,0.1760,0.1821,-0.0005,0.0331
1779480331.521364,2.5620,0,transit,3.0234,0.0894,3.9982,0.0111,-0.0155,0.0013,-0.0007,-0.0001,3.0362,0.0740,3.9999,0.5625,-0.3819,4.9993,0.2833,0.2571,0.0009,-0.0445,0.0189,1.0234,0.0908,4.9982,0.4609,0.4727,-0.0011,0.6603,0.0011,0.0438,2.5057,1.0011,0.0000,0.0003,0.2305,0.2364,-0.0005,0.0000,0.0000,0.0000,-0.0544,-0.0545,0.0001,0.1760,0.1821,-0.0005,0.0331
1779480331.559931,2.5930,0,transit,3.0234,0.0894,3.9982,0.0111,-0.0155,0.0013,-0.0007,-0.0001,3.0362,0.0740,3.9999,0.5625,-0.3819,4.9993,0.2833,0.2571,0.0009,-0.0445,0.0189,1.0234,0.0908,4.9982,0.4609,0.4727,-0.0011,0.6603,0.0011,0.0438,2.5057,1.0011,0.0000,0.0003,0.2305,0.2364,-0.0005,0.0000,0.0000,0.0000,-0.0544,-0.0545,0.0001,0.1760,0.1821,-0.0005,0.0331
1779480331.617678,2.6560,0,transit,3.0234,0.0894,3.9982,0.0111,-0.0155,0.0013,-0.0007,-0.0001,3.0362,0.0740,3.9999,0.5947,-0.3490,4.9994,0.2652,0.2383,0.0007,-0.0410,0.0287,1.0234,0.0908,4.9982,0.4287,0.4398,-0.0012,0.6142,0.0012,0.0403,2.4680,1.0012,0.0000,0.0003,0.2144,0.2199,-0.0006,0.0000,0.0000,0.0000,-0.0508,-0.0508,0.0001,0.1635,0.1694,-0.0005,0.0294
